,phy,data_rate,channel,frequency,signal_dbm,noise_dbm,snr,tx_addr,timestamp,duration,ifs,start_tsf,end_tsf
0,6,24,1,2412,-80,-93,13,,52637,28,,52609,52637
1,4,1,1,2412,-70,-93,23,b0:e4:d5:32:ec:8a,54901,1960,304,52941,54901
2,6,6,1,2412,-58,-93,35,10:86:8c:5f:93:1e,58634,344,3389,58290,58634
3,4,1,1,2412,-66,-93,27,94:a6:7e:c9:98:67,61882,2464,784,59418,61882
4,6,24,1,2412,-78,-93,15,4c:01:43:d7:f3:26,70081,32,8167,70049,70081
5,6,24,1,2412,-79,-93,14,,70801,28,692,70773,70801
6,6,24,1,2412,-81,-93,12,,73179,28,2350,73151,73179
7,4,11,1,2412,-72,-93,21,48:dd:0c:7d:86:23,79778,323,6276,79455,79778
8,4,11,1,2412,-72,-93,21,48:dd:0c:7d:86:25,80114,382,-46,79732,80114
9,6,6,1,2412,-80,-93,13,40:b0:34:b7:01:d5,82356,576,1666,81780,82356
10,6,6,1,2412,-57,-93,36,12:86:8c:5f:93:1e,84233,332,1545,83901,84233
11,4,1,1,2412,-90,-93,3,00:26:62:eb:ea:74,93200,968,7999,92232,93200
12,6,6,1,2412,-86,-93,7,e2:db:d1:d1:b0:4a,95014,444,1370,94570,95014
13,6,6,1,2412,-87,-93,6,e2:db:d1:d1:b0:4b,95491,408,69,95083,95491
14,4,11,1,2412,-83,-93,10,4c:01:43:ec:a0:69,103350,361,7498,102989,103350
15,4,11,1,2412,-82,-93,11,4c:01:43:ec:a0:63,103723,322,51,103401,103723
16,4,11,1,2412,-83,-93,10,4c:01:43:ec:a0:66,104058,387,-52,103671,104058
17,4,11,1,2412,-74,-93,19,48:dd:0c:90:e3:87,104570,362,150,104208,104570
18,4,11,1,2412,-74,-93,19,48:dd:0c:90:e3:83,104944,323,51,104621,104944
19,4,11,1,2412,-75,-93,18,48:dd:0c:90:e3:85,105279,382,-47,104897,105279
20,6,6,1,2412,-58,-93,35,52:86:8c:5f:93:1e,109912,332,4301,109580,109912
21,6,6,1,2412,-85,-93,8,0a:a7:c0:a3:8d:71,113123,408,2803,112715,113123
22,6,6,1,2412,-85,-93,8,0a:a7:c0:a3:8d:73,113582,408,51,113174,113582
23,4,1,1,2412,-82,-93,11,78:67:0e:c4:a8:42,116742,2736,424,114006,116742
24,4,11,1,2412,-83,-93,10,,120110,107,3261,120003,120110
25,6,24,1,2412,-81,-93,12,78:67:0e:c4:a8:42,120238,32,96,120206,120238
26,4,1,1,2412,-83,-93,10,78:67:0e:c4:a8:42,124665,352,4075,124313,124665
27,6,24,1,2412,-81,-93,12,78:67:0e:c4:a8:42,127223,32,2526,127191,127223
28,4,1,1,2412,-85,-93,8,,132832,304,5305,132528,132832
29,6,6,1,2412,-86,-93,7,e2:db:d1:d1:b0:4a,133558,68,658,133490,133558
30,6,6,1,2412,-59,-93,34,32:86:8c:5f:93:1e,135435,332,1545,135103,135435
31,6,6,1,2412,-87,-93,6,3c:bd:c5:ee:96:6d,155275,68,19772,155207,155275
32,6,24,1,2412,-80,-93,13,,156315,28,1012,156287,156315
33,4,1,1,2412,-57,-93,36,94:a6:7e:c9:98:67,164286,2464,5507,161822,164286
34,4,11,1,2412,-80,-93,13,4c:01:43:d7:f3:23,168480,322,3872,168158,168480
35,6,6,1,2412,-88,-93,5,3c:bd:c5:ee:96:6d,173257,68,4709,173189,173257
36,4,1,1,2412,-81,-93,12,78:67:0e:38:6c:d3,179037,2736,3044,176301,179037
37,4,11,1,2412,-72,-93,21,48:dd:0c:7d:86:27,181796,362,2397,181434,181796
38,4,11,1,2412,-73,-93,20,48:dd:0c:7d:86:23,182170,323,51,181847,182170
39,4,11,1,2412,-72,-93,21,48:dd:0c:7d:86:25,182505,382,-47,182123,182505
40,6,6,1,2412,-79,-93,14,40:b0:34:b7:01:d5,184757,576,1676,184181,184757
41,6,6,1,2412,-59,-93,34,12:86:8c:5f:93:1e,186635,332,1546,186303,186635
42,6,6,1,2412,-84,-93,9,e2:db:d1:d1:b0:4b,197911,408,10868,197503,197911
43,6,6,1,2412,-84,-93,9,e2:db:d1:d1:b0:4d,198352,408,33,197944,198352
44,6,6,1,2412,-86,-93,7,e2:db:d1:d1:b0:4f,198811,408,51,198403,198811
45,6,6,1,2412,-84,-93,9,,199479,44,624,199435,199479
46,4,1,1,2412,-91,-93,2,,204540,304,4757,204236,204540
47,4,11,1,2412,-83,-93,10,4c:01:43:ec:a0:69,205749,361,848,205388,205749
48,4,11,1,2412,-81,-93,12,4c:01:43:ec:a0:63,206122,322,51,205800,206122
49,4,11,1,2412,-75,-93,18,48:dd:0c:90:e3:87,206969,362,485,206607,206969
50,4,11,1,2412,-74,-93,19,48:dd:0c:90:e3:83,207344,323,52,207021,207344
51,4,11,1,2412,-75,-93,18,48:dd:0c:90:e3:85,207679,382,-47,207297,207679
