,Unnamed: 0,phy,data_rate,data_rate_smooth,channel,frequency,signal_dbm,signal_smooth,noise_dbm,snr,tx_addr,timestamp,duration,ifs,start_tsf,end_tsf
12,12,6,6.0,6.000000000000015,1,2412,-86,-85.16783216783237,-93,7,e2:db:d1:d1:b0:4a,95014,444,1370.0,94570,95014
29,29,6,6.0,6.000000000000015,1,2412,-86,-84.80885780885802,-93,7,e2:db:d1:d1:b0:4a,133558,68,658.0,133490,133558
75,75,6,6.0,4.489510489510551,1,2412,-83,-84.61538461538484,-93,10,e2:db:d1:d1:b0:4a,299913,444,10433.0,299469,299913
78,78,6,6.0,4.867132867132956,1,2412,-83,-84.25407925407949,-93,10,e2:db:d1:d1:b0:4a,301722,548,-108.0,301174,301722
79,79,6,6.0,6.713286713286819,1,2412,-84,-83.98135198135219,-93,9,e2:db:d1:d1:b0:4a,302303,576,5.0,301727,302303
199,199,6,6.0,11.11888111888119,1,2412,-86,-84.2587412587415,-93,7,e2:db:d1:d1:b0:4a,811838,444,14487.0,811394,811838
220,220,6,6.0,12.755244755244854,1,2412,-85,-84.85081585081608,-93,8,e2:db:d1:d1:b0:4a,914233,444,9771.0,913789,914233
446,446,6,24.0,16.5314685314686,1,2412,-84,-86.0699300699303,-92,8,e2:db:d1:d1:b0:4a,1789625,28,961.0,1789597,1789625
480,480,6,24.0,18.62937062937069,1,2412,-86,-86.24941724941748,-92,6,e2:db:d1:d1:b0:4a,1910931,28,66.0,1910903,1910931
540,540,6,24.0,19.048951048951096,1,2412,-88,-86.20745920745944,-92,4,e2:db:d1:d1:b0:4a,2075296,28,4175.0,2075268,2075296
547,547,6,6.0,17.790209790209822,1,2412,-87,-86.08624708624731,-92,5,e2:db:d1:d1:b0:4a,2081872,68,67.0,2081804,2081872
549,549,6,24.0,14.853146853146852,1,2412,-87,-86.17948717948741,-92,5,e2:db:d1:d1:b0:4a,2089753,28,6315.0,2089725,2089753
562,562,6,6.0,10.237762237762176,1,2412,-83,-86.10722610722632,-92,9,e2:db:d1:d1:b0:4a,2143039,444,10348.0,2142595,2143039
564,564,6,6.0,7.762237762237703,1,2412,-86,-85.80186480186504,-92,6,e2:db:d1:d1:b0:4a,2144866,168,273.0,2144698,2144866
565,565,6,6.0,6.335664335664291,1,2412,-86,-85.45221445221468,-92,6,e2:db:d1:d1:b0:4a,2145067,196,5.0,2144871,2145067
566,566,6,6.0,6.377622377622369,1,2412,-86,-85.44289044289067,-92,6,e2:db:d1:d1:b0:4a,2145296,168,61.0,2145128,2145296
567,567,6,6.0,4.489510489510452,1,2412,-86,-85.71328671328693,-92,6,e2:db:d1:d1:b0:4a,2145497,196,5.0,2145301,2145497
568,568,6,6.0,6.000000000000015,1,2412,-86,-86.24242424242448,-92,6,e2:db:d1:d1:b0:4a,2145726,188,41.0,2145538,2145726
569,569,6,6.0,6.000000000000015,1,2412,-85,-86.26806526806548,-92,7,e2:db:d1:d1:b0:4a,2145946,160,60.0,2145786,2145946
570,570,6,6.0,6.000000000000015,1,2412,-86,-86.06526806526828,-92,6,e2:db:d1:d1:b0:4a,2146139,188,5.0,2145951,2146139
571,571,6,6.0,6.000000000000015,1,2412,-87,-85.58041958041979,-92,5,e2:db:d1:d1:b0:4a,2146360,160,61.0,2146200,2146360
572,572,6,6.0,6.000000000000015,1,2412,-86,-85.0722610722613,-92,6,e2:db:d1:d1:b0:4a,2146553,308,-115.0,2146245,2146553
579,579,6,6.0,6.000000000000015,1,2412,-85,-84.41958041958064,-92,7,e2:db:d1:d1:b0:4a,2163152,68,5143.0,2163084,2163152
603,603,6,6.0,4.489510489510551,1,2412,-82,-84.38228438228458,-92,10,e2:db:d1:d1:b0:4a,2247859,156,12492.0,2247703,2247859
