,Unnamed: 0,phy,data_rate,data_rate_smooth,channel,frequency,signal_dbm,signal_smooth,noise_dbm,snr,tx_addr,timestamp,duration,ifs,start_tsf,end_tsf
46,46,6,6.0,6.000000000000015,1,2412,-72,-72.38461538461556,-89,17,e6:aa:ea:b7:4a:dd,464933,408,46204.0,464525,464933
136,136,6,6.0,6.000000000000015,1,2412,-72,-72.35198135198154,-89,17,e6:aa:ea:b7:4a:dd,984541,408,1945.0,984133,984541
137,137,6,6.0,6.000000000000015,1,2412,-74,-71.87878787878807,-89,15,e6:aa:ea:b7:4a:dd,1008773,408,23824.0,1008365,1008773
181,181,6,6.0,6.000000000000015,1,2412,-72,-71.91142191142211,-89,17,e6:aa:ea:b7:4a:dd,1516695,408,10021.0,1516287,1516695
206,206,6,6.0,6.000000000000015,1,2412,-71,-72.17016317016336,-89,18,e6:aa:ea:b7:4a:dd,1819485,408,3234.0,1819077,1819485
207,207,6,6.0,6.000000000000015,1,2412,-71,-72.17016317016335,-89,18,e6:aa:ea:b7:4a:dd,1843730,408,23837.0,1843322,1843730
208,208,6,6.0,6.000000000000015,1,2412,-71,-72.1235431235433,-89,18,e6:aa:ea:b7:4a:dd,1855842,408,11704.0,1855434,1855842
257,257,6,6.0,6.000000000000015,1,2412,-75,-72.03030303030322,-89,14,e6:aa:ea:b7:4a:dd,2272877,408,36103.0,2272469,2272877
300,300,6,6.0,6.000000000000015,1,2412,-73,-72.23076923076941,-89,16,e6:aa:ea:b7:4a:dd,2781344,408,12834.0,2780936,2781344
349,349,6,6.0,6.000000000000015,1,2412,-71,-72.45221445221465,-89,18,e6:aa:ea:b7:4a:dd,3175189,408,29836.0,3174781,3175189
350,350,6,6.0,6.000000000000015,1,2412,-72,-72.6060606060608,-89,17,e6:aa:ea:b7:4a:dd,3187307,408,11710.0,3186899,3187307
351,351,6,6.0,6.000000000000015,1,2412,-72,-72.45920745920765,-89,17,e6:aa:ea:b7:4a:dd,3199418,408,11703.0,3199010,3199418
353,353,6,6.0,6.000000000000015,1,2412,-72,-71.76223776223793,-89,17,e6:aa:ea:b7:4a:dd,3211534,408,262.0,3211126,3211534
381,381,6,6.0,6.000000000000015,1,2412,-73,-71.43123543123562,-89,16,e6:aa:ea:b7:4a:dd,3477897,408,37592.0,3477489,3477897
406,406,6,6.0,6.000000000000015,1,2412,-72,-71.1165501165503,-89,17,e6:aa:ea:b7:4a:dd,3840883,408,24126.0,3840475,3840883
434,434,6,6.0,6.000000000000015,1,2412,-70,-70.77389277389297,-89,19,e6:aa:ea:b7:4a:dd,4221765,408,4371.0,4221357,4221765
468,468,6,6.0,6.000000000000015,1,2412,-69,-70.82051282051302,-89,20,e6:aa:ea:b7:4a:dd,4525897,408,416.0,4525489,4525897
470,470,6,6.0,6.000000000000015,1,2412,-70,-70.96037296037315,-89,19,e6:aa:ea:b7:4a:dd,4549717,408,12121.0,4549309,4549717
478,478,6,6.0,6.000000000000015,1,2412,-72,-71.19347319347337,-89,17,e6:aa:ea:b7:4a:dd,4573682,408,7122.0,4573274,4573682
499,499,6,6.0,6.000000000000015,1,2412,-73,-71.64801864801883,-89,16,e6:aa:ea:b7:4a:dd,4839988,408,53925.0,4839580,4839988
500,500,6,6.0,6.000000000000015,1,2412,-73,-72.24009324009344,-89,16,e6:aa:ea:b7:4a:dd,4852109,408,11713.0,4851701,4852109
501,501,6,6.0,6.000000000000015,1,2412,-72,-72.77389277389298,-89,17,e6:aa:ea:b7:4a:dd,4864230,408,11713.0,4863822,4864230
