,phy,data_rate,channel,frequency,signal_dbm,noise_dbm,snr,tx_addr,timestamp,duration,ifs,start_tsf,end_tsf
0,6,12,1,2412,-41,-92,51,40:e3:d6:da:ba:20,496038,160,,495878,496038
1,6,12,1,2412,-41,-92,51,40:e3:d6:da:ba:22,496626,180,408,496446,496626
2,6,12,1,2412,-41,-92,51,40:e3:d6:da:ba:23,496832,184,22,496648,496832
3,6,12,1,2412,-41,-92,51,40:e3:d6:da:ba:24,497068,176,60,496892,497068
4,6,12,1,2412,-41,-92,51,40:e3:d6:da:ba:25,497288,160,60,497128,497288
5,6,6,1,2412,-41,-92,51,40:e3:d6:da:ba:26,497488,380,-180,497108,497488
6,6,6,1,2412,-57,-92,35,e6:aa:ea:c9:ea:33,516154,408,18258,515746,516154
7,6,6,1,2412,-57,-92,35,e6:aa:ea:c9:ea:33,528361,408,11799,527953,528361
8,4,5.5,1,2412,-79,-92,13,52:4e:2d:b5:f1:87,539084,403,10320,538681,539084
9,4,5.5,1,2412,-89,-92,3,,539505,213,208,539292,539505
10,6,12,1,2412,-41,-92,51,40:e3:d6:da:ba:22,544818,156,5157,544662,544818
11,6,12,1,2412,-41,-92,51,40:e3:d6:da:ba:23,545036,156,62,544880,545036
12,6,12,1,2412,-41,-92,51,40:e3:d6:da:ba:25,545235,136,63,545099,545235
13,4,1,1,2412,-68,-92,24,54:e4:3a:ec:fb:64,555337,2160,7942,553177,555337
14,4,1,1,2412,-79,-92,13,52:4e:2d:b5:f1:87,560348,1352,3659,558996,560348
15,6,12,1,2412,-41,-92,51,40:e3:d6:da:ba:20,564045,136,3561,563909,564045
16,6,6,1,2412,-41,-92,51,40:e3:d6:da:ba:21,564231,348,-162,563883,564231
17,6,12,1,2412,-41,-92,51,40:e3:d6:da:ba:25,565760,136,1393,565624,565760
18,6,12,1,2412,-41,-92,51,40:e3:d6:da:ba:20,600552,160,34632,600392,600552
19,6,6,1,2412,-41,-92,51,40:e3:d6:da:ba:21,600770,368,-150,600402,600770
20,6,12,1,2412,-41,-92,51,40:e3:d6:da:ba:22,601338,180,388,601158,601338
21,6,12,1,2412,-41,-92,51,40:e3:d6:da:ba:23,601561,184,39,601377,601561
22,6,12,1,2412,-41,-92,51,40:e3:d6:da:ba:24,601780,176,43,601604,601780
23,6,12,1,2412,-41,-92,51,40:e3:d6:da:ba:25,601999,160,59,601839,601999
