,Unnamed: 0,phy,data_rate,data_rate_smooth,channel,frequency,signal_dbm,signal_smooth,noise_dbm,snr,tx_addr,timestamp,duration,ifs,start_tsf,end_tsf
26,26,4,1.0,1.0000000000000027,1,2412,-84,-81.33333333333354,-92,8,b8:3a:5a:88:e6:e0,684855,2360,24760.0,682495,684855
46,46,4,1.0,1.0000000000000027,1,2412,-72,-82.2447552447554,-92,20,b8:3a:5a:88:e6:e0,787246,2360,24752.0,784886,787246
50,50,4,1.0,1.0000000000000027,1,2412,-84,-79.93240093240111,-92,8,b8:3a:5a:88:e6:e0,801957,2240,-1960.0,799717,801957
161,161,4,1.0,1.0000000000000027,1,2412,-85,-78.36829836829855,-92,7,b8:3a:5a:88:e6:e0,1504559,2360,3200.0,1502199,1504559
177,177,4,1.0,1.0000000000000027,1,2412,-72,-77.34965034965053,-92,20,b8:3a:5a:88:e6:e0,1606444,2360,16454.0,1604084,1606444
249,249,4,1.0,1.0000000000000027,1,2412,-86,-77.24242424242443,-92,6,b8:3a:5a:88:e6:e0,2220844,2360,24763.0,2218484,2220844
268,268,4,1.0,1.0000000000000027,1,2412,-63,-77.92773892773914,-92,29,b8:3a:5a:88:e6:e0,2391396,2240,-623.0,2389156,2391396
272,272,4,1.0,1.0000000000000027,1,2412,-81,-76.70163170163188,-92,11,b8:3a:5a:88:e6:e0,2425766,2360,8913.0,2423406,2425766
305,305,4,1.0,1.0000000000000027,1,2412,-80,-77.74825174825195,-92,12,b8:3a:5a:88:e6:e0,2733611,2360,-1465.0,2731251,2733611
317,317,4,1.0,1.0000000000000027,1,2412,-81,-79.72960372960395,-92,11,b8:3a:5a:88:e6:e0,2786227,2240,-779.0,2783987,2786227
320,320,4,1.0,1.0000000000000027,1,2412,-80,-79.5850815850818,-92,12,b8:3a:5a:88:e6:e0,2835262,2360,24786.0,2832902,2835262
331,331,4,1.0,1.0000000000000027,1,2412,-80,-83.62237762237785,-92,12,b8:3a:5a:88:e6:e0,2938409,2360,25216.0,2936049,2938409
341,341,4,1.0,1.0000000000000027,1,2412,-83,-80.63170163170182,-92,9,b8:3a:5a:88:e6:e0,3040047,2360,24711.0,3037687,3040047
373,373,4,1.0,1.0000000000000027,1,2412,-80,-80.6386946386948,-92,12,b8:3a:5a:88:e6:e0,3347244,2360,24774.0,3344884,3347244
428,428,4,1.0,1.0000000000000027,1,2412,-80,-78.45920745920763,-92,12,b8:3a:5a:88:e6:e0,3859250,2360,66082.0,3856890,3859250
438,438,4,1.0,1.0000000000000027,1,2412,-84,-76.93473193473211,-92,8,b8:3a:5a:88:e6:e0,3961660,2360,24796.0,3959300,3961660
555,555,4,1.0,1.0000000000000027,1,2412,-64,-75.62470862470882,-92,28,b8:3a:5a:88:e6:e0,4783208,2360,1764.0,4780848,4783208
580,580,4,1.0,1.0000000000000027,1,2412,-81,-75.24242424242443,-92,11,b8:3a:5a:88:e6:e0,4985702,2360,24819.0,4983342,4985702
627,627,4,1.0,1.0000000000000027,1,2412,-68,-75.47552447552468,-92,24,b8:3a:5a:88:e6:e0,5497668,2360,5472.0,5495308,5497668
714,714,4,1.0,1.0000000000000027,1,2412,-80,-76.62004662004682,-92,12,b8:3a:5a:88:e6:e0,6098789,2240,-1995.0,6096549,6098789
