,Unnamed: 0,phy,data_rate,data_rate_smooth,channel,frequency,signal_dbm,signal_smooth,noise_dbm,snr,tx_addr,timestamp,duration,ifs,start_tsf,end_tsf
1,1,6,6.0,6.000000000000015,6,2437,-62,-62.2354312354314,-93,31,3a:22:e2:39:65:5d,2268940017,568,8636.0,2268939449,2268940017
2,2,6,6.0,6.000000000000015,6,2437,-63,-62.40792540792557,-93,30,3a:22:e2:39:65:5d,2268940718,740,-39.0,2268939978,2268940718
3,3,6,6.0,6.000000000000015,6,2437,-62,-62.67599067599084,-93,31,3a:22:e2:39:65:5d,2268941643,740,185.0,2268940903,2268941643
4,4,6,6.0,6.000000000000015,6,2437,-63,-62.49184149184166,-93,30,3a:22:e2:39:65:5d,2268942687,740,304.0,2268941947,2268942687
5,5,6,6.0,6.000000000000015,6,2437,-63,-62.52680652680671,-93,30,3a:22:e2:39:65:5d,2268943570,740,143.0,2268942830,2268943570
6,6,6,6.0,6.000000000000015,6,2437,-63,-62.87645687645706,-93,30,3a:22:e2:39:65:5d,2268944695,740,385.0,2268943955,2268944695
7,7,6,6.0,6.000000000000015,6,2437,-63,-63.42424242424261,-93,30,3a:22:e2:39:65:5d,2268945677,740,242.0,2268944937,2268945677
8,8,6,6.0,6.000000000000015,6,2437,-62,-64.26573426573445,-93,31,3a:22:e2:39:65:5d,2268947967,740,1550.0,2268947227,2268947967
32,32,6,6.0,6.000000000000015,6,2437,-66,-65.01165501165521,-93,27,3a:22:e2:39:65:5d,2269052436,568,3587.0,2269051868,2269052436
48,48,6,6.0,6.000000000000015,6,2437,-67,-65.84149184149203,-93,26,3a:22:e2:39:65:5d,2269146056,740,27464.0,2269145316,2269146056
49,49,6,6.0,6.000000000000015,6,2437,-67,-66.32634032634053,-93,26,3a:22:e2:39:65:5d,2269147160,740,364.0,2269146420,2269147160
50,50,6,6.0,6.000000000000015,6,2437,-67,-67.02331002331023,-93,26,3a:22:e2:39:65:5d,2269148351,740,451.0,2269147611,2269148351
