,phy,data_rate,channel,frequency,signal_dbm,noise_dbm,snr,tx_addr,timestamp,duration,ifs,start_tsf,end_tsf
0,6,6,1,2412,-49,-89,40,e6:aa:ea:c9:ea:33,23595,408,,23187,23595
1,6,6,1,2412,-49,-89,40,e6:aa:ea:c9:ea:33,35716,408,11713,35308,35716
2,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:20,59064,160,23188,58904,59064
3,6,6,1,2412,-56,-89,33,40:e3:d6:da:ba:21,59653,368,221,59285,59653
4,6,12,1,2412,-55,-89,34,40:e3:d6:da:ba:22,60040,180,207,59860,60040
5,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:23,60273,184,49,60089,60273
6,6,12,1,2412,-55,-89,34,40:e3:d6:da:ba:24,60491,176,42,60315,60491
7,6,12,1,2412,-55,-89,34,40:e3:d6:da:ba:25,60710,160,59,60550,60710
8,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:20,161464,160,100594,161304,161464
9,6,6,1,2412,-56,-89,33,40:e3:d6:da:ba:21,161683,368,-149,161315,161683
10,6,12,1,2412,-55,-89,34,40:e3:d6:da:ba:23,162400,184,533,162216,162400
11,6,12,1,2412,-55,-89,34,40:e3:d6:da:ba:24,162628,176,52,162452,162628
12,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:25,162875,160,87,162715,162875
13,6,6,1,2412,-53,-89,36,40:e3:d6:da:ba:26,163077,380,-178,162697,163077
14,6,6,1,2412,-84,-89,5,e6:aa:ea:c9:ea:1b,168680,408,5195,168272,168680
15,4,1,1,2412,-72,-89,17,54:e4:3a:ec:fb:64,172876,2160,2036,170716,172876
16,4,1,1,2412,-61,-89,28,b8:3a:5a:88:e6:e0,175059,2360,-177,172699,175059
17,4,5.5,1,2412,-84,-89,5,f0:b6:1e:30:eb:66,187132,389,11684,186743,187132
18,4,5.5,1,2412,-82,-89,7,,187538,213,193,187325,187538
19,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:20,187610,136,-64,187474,187610
20,6,12,1,2412,-80,-89,9,,187766,32,124,187734,187766
21,6,6,1,2412,-63,-89,26,40:e3:d6:da:ba:21,187805,348,-309,187457,187805
22,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:22,188190,156,229,188034,188190
23,4,1,1,2412,-81,-89,8,a6:e5:7c:28:b1:d3,188464,944,-670,187520,188464
24,4,1,1,2412,-82,-89,7,,189419,304,651,189115,189419
25,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:23,189601,156,26,189445,189601
26,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:25,189800,136,63,189664,189800
27,6,12,1,2412,-81,-89,8,,191753,32,1921,191721,191753
28,6,6,1,2412,-83,-89,6,e6:aa:ea:c9:ea:1b,192906,408,745,192498,192906
29,6,6,1,2412,-85,-89,4,e6:aa:ea:c9:ea:1b,205022,408,11708,204614,205022
30,6,6,1,2412,-77,-89,12,f0:b6:1e:30:eb:66,251859,204,46633,251655,251859
31,4,1,1,2412,-82,-89,7,,254787,304,2624,254483,254787
32,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:20,263878,160,8931,263718,263878
33,6,6,1,2412,-56,-89,33,40:e3:d6:da:ba:21,264079,368,-167,263711,264079
34,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:22,264475,180,216,264295,264475
35,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:23,264699,184,40,264515,264699
36,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:24,264908,176,33,264732,264908
37,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:25,265128,160,60,264968,265128
38,6,6,1,2412,-56,-89,33,40:e3:d6:da:ba:26,265347,380,-161,264967,265347
39,4,1,1,2412,-72,-89,17,54:e4:3a:ec:fb:64,275276,2160,7769,273116,275276
40,4,1,1,2412,-87,-89,2,b8:3a:5a:88:e6:e0,277459,2360,-177,275099,277459
41,4,1,1,2412,-85,-89,4,b8:3a:5a:88:e6:e1,279866,2376,31,277490,279866
42,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:20,366253,160,86227,366093,366253
43,6,6,1,2412,-56,-89,33,40:e3:d6:da:ba:21,366445,368,-176,366077,366445
44,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:25,367520,160,915,367360,367520
45,4,1,1,2412,-85,-89,4,c0:c9:e3:4d:6e:bf,418321,872,49929,417449,418321
46,6,6,1,2412,-72,-89,17,e6:aa:ea:b7:4a:dd,464933,408,46204,464525,464933
47,6,12,1,2412,-55,-89,34,40:e3:d6:da:ba:20,469047,160,3954,468887,469047
48,6,6,1,2412,-56,-89,33,40:e3:d6:da:ba:21,469267,368,-148,468899,469267
49,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:22,469681,180,234,469501,469681
50,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:23,469895,184,30,469711,469895
51,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:24,470114,176,43,469938,470114
52,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:25,470324,160,50,470164,470324
53,6,6,1,2412,-56,-89,33,40:e3:d6:da:ba:26,470516,380,-188,470136,470516
54,6,6,1,2412,-49,-89,40,e6:aa:ea:c9:ea:33,519727,408,48803,519319,519727
55,6,6,1,2412,-48,-89,41,e6:aa:ea:c9:ea:33,531846,408,11711,531438,531846
56,6,6,1,2412,-48,-89,41,e6:aa:ea:c9:ea:33,543953,408,11699,543545,543953
57,6,6,1,2412,-49,-89,40,e6:aa:ea:c9:ea:33,556085,408,11724,555677,556085
58,6,6,1,2412,-49,-89,40,e6:aa:ea:c9:ea:33,568188,408,11695,567780,568188
59,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:20,571054,160,2706,570894,571054
60,6,6,1,2412,-56,-89,33,40:e3:d6:da:ba:21,571273,368,-149,570905,571273
61,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:22,571660,180,207,571480,571660
62,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:23,571893,184,49,571709,571893
63,6,12,1,2412,-56,-89,33,40:e3:d6:da:ba:24,572102,176,33,571926,572102
64,6,12,1,2412,-55,-89,34,40:e3:d6:da:ba:25,572312,160,50,572152,572312
65,6,6,1,2412,-56,-89,33,40:e3:d6:da:ba:26,572513,380,-179,572133,572513
66,4,1,1,2412,-73,-89,16,54:e4:3a:ec:fb:64,582473,2160,7800,580313,582473
67,4,1,1,2412,-87,-89,2,b8:3a:5a:88:e6:e0,584657,2360,-176,582297,584657
68,4,1,1,2412,-82,-89,7,a6:e5:7c:28:b1:d3,667649,944,82048,666705,667649
69,4,1,1,2412,-82,-89,7,a6:e5:7c:28:b1:d3,668700,944,107,667756,668700
70,4,1,1,2412,-84,-89,5,a6:e5:7c:28:b1:d3,669751,944,107,668807,669751
71,4,1,1,2412,-77,-89,12,a6:e5:7c:28:b1:d3,670802,944,107,669858,670802
72,4,1,1,2412,-83,-89,6,a6:e5:7c:28:b1:d3,672068,944,322,671124,672068
73,4,1,1,2412,-69,-89,20,a6:e5:7c:28:b1:d3,674223,944,1211,673279,674223
74,4,1,1,2412,-80,-89,9,a6:e5:7c:28:b1:d3,675319,944,152,674375,675319
75,4,1,1,2412,-82,-89,7,a6:e5:7c:28:b1:d3,676379,944,116,675435,676379
76,4,1,1,2412,-83,-89,6,a6:e5:7c:28:b1:d3,677466,944,143,676522,677466
