,Unnamed: 0,phy,data_rate,data_rate_smooth,channel,frequency,signal_dbm,signal_smooth,noise_dbm,snr,tx_addr,timestamp,duration,ifs,start_tsf,end_tsf
23,23,4,1.0,1.0000000000000027,1,2412,-81,-81.41258741258761,-89,8,a6:e5:7c:28:b1:d3,188464,944,-670.0,187520,188464
68,68,4,1.0,1.0000000000000027,1,2412,-82,-82.5244755244757,-89,7,a6:e5:7c:28:b1:d3,667649,944,82048.0,666705,667649
69,69,4,1.0,1.0000000000000027,1,2412,-82,-81.38461538461557,-89,7,a6:e5:7c:28:b1:d3,668700,944,107.0,667756,668700
70,70,4,1.0,1.0000000000000027,1,2412,-84,-80.18181818181837,-89,5,a6:e5:7c:28:b1:d3,669751,944,107.0,668807,669751
71,71,4,1.0,1.0000000000000027,1,2412,-77,-79.23310023310044,-89,12,a6:e5:7c:28:b1:d3,670802,944,107.0,669858,670802
72,72,4,1.0,1.0000000000000027,1,2412,-83,-80.21445221445238,-89,6,a6:e5:7c:28:b1:d3,672068,944,322.0,671124,672068
73,73,4,1.0,1.0000000000000027,1,2412,-69,-78.50582750582768,-89,20,a6:e5:7c:28:b1:d3,674223,944,1211.0,673279,674223
74,74,4,1.0,1.0000000000000027,1,2412,-80,-78.42657342657358,-89,9,a6:e5:7c:28:b1:d3,675319,944,152.0,674375,675319
75,75,4,1.0,1.0000000000000027,1,2412,-82,-76.92074592074607,-89,7,a6:e5:7c:28:b1:d3,676379,944,116.0,675435,676379
76,76,4,1.0,1.0000000000000027,1,2412,-83,-75.35198135198155,-89,6,a6:e5:7c:28:b1:d3,677466,944,143.0,676522,677466
77,77,4,1.0,1.0000000000000027,1,2412,-65,-73.93939393939415,-89,24,a6:e5:7c:28:b1:d3,678535,944,125.0,677591,678535
275,275,4,1.0,1.0000000000000027,1,2412,-79,-74.69930069930092,-89,10,a6:e5:7c:28:b1:d3,2490388,992,70245.0,2489396,2490388
494,494,4,1.0,1.0000000000000027,1,2412,-66,-73.80186480186501,-89,23,a6:e5:7c:28:b1:d3,4774120,944,24.0,4773176,4774120
495,495,4,1.0,1.0000000000000027,1,2412,-73,-74.9976689976692,-89,16,a6:e5:7c:28:b1:d3,4777977,944,2913.0,4777033,4777977
497,497,4,1.0,1.0000000000000027,1,2412,-82,-78.65967365967387,-89,7,a6:e5:7c:28:b1:d3,4783472,944,1691.0,4782528,4783472
498,498,4,1.0,1.0000000000000027,1,2412,-83,-80.04895104895131,-89,6,a6:e5:7c:28:b1:d3,4785655,944,1239.0,4784711,4785655
502,502,4,1.0,1.0000000000000027,1,2412,-82,-79.79254079254103,-89,7,a6:e5:7c:28:b1:d3,4869963,944,4789.0,4869019,4869963
503,503,4,1.0,1.0000000000000027,1,2412,-84,-81.14452214452244,-89,5,a6:e5:7c:28:b1:d3,4874467,944,3560.0,4873523,4874467
504,504,4,1.0,1.0000000000000027,1,2412,-82,-80.95571095571124,-89,7,a6:e5:7c:28:b1:d3,4875554,944,143.0,4874610,4875554
542,542,4,1.0,1.0000000000000027,1,2412,-66,-81.72727272727293,-89,23,a6:e5:7c:28:b1:d3,5259179,944,77733.0,5258235,5259179
543,543,4,1.0,1.0000000000000027,1,2412,-87,-83.90909090909105,-89,2,a6:e5:7c:28:b1:d3,5260248,944,125.0,5259304,5260248
544,544,4,1.0,1.0000000000000027,1,2412,-85,-81.87179487179506,-89,4,a6:e5:7c:28:b1:d3,5261317,944,125.0,5260373,5261317
545,545,4,1.0,1.0000000000000027,1,2412,-89,-80.74125874125896,-89,0,a6:e5:7c:28:b1:d3,5262368,944,107.0,5261424,5262368
546,546,4,1.0,1.0000000000000027,1,2412,-87,-81.91608391608413,-89,2,a6:e5:7c:28:b1:d3,5265566,944,2254.0,5264622,5265566
